x,y1,y2,y3,y4
1,5,7,2,3
2,3,6,4,8
3,6,9,1,5
4,8,3,7,6
5,2,1,8,9
6,7,4,5,2
7,1,2,6,4
8,4,8,3,1
9,9,5,9,7
10,2,6,4,8
11,6,9,1,5
12,8,3,7,6
13,3,6,4,8
14,7,4,5,2
15,1,2,6,4
16,4,8,3,1
17,9,5,9,7
18,2,6,4,8
19,6,9,1,5
20,8,3,7,6
21,3,6,4,8
22,7,4,5,2
23,1,2,6,4
24,4,8,3,1
25,9,5,9,7
26,2,6,4,8
27,6,9,1,5
28,8,3,7,6
29,3,6,4,8
30,7,4,5,2
31,1,2,6,4
32,4,8,3,1
33,9,5,9,7
34,2,6,4,8
35,6,9,1,5
36,8,3,7,6
37,3,6,4,8
38,7,4,5,2
39,1,2,6,4
40,4,8,3,1
41,9,5,9,7
42,2,6,4,8
43,6,9,1,5
44,8,3,7,6
45,3,6,4,8
46,7,4,5,2
47,1,2,6,4
48,4,8,3,1
49,9,5,9,7
50,2,6,4,8
